name,name_ar,governorate,district,address,phone,whatsapp,website,facebook,branches,vets,is_hospital,has_grooming,has_boarding,has_pharmacy,has_petshop,has_lab,current_software,notes,source,source_url
Alexandria Veterinary Center,مركز الإسكندرية البيطري,Alexandria,Smouha,"Kirosis Towers, Smouha",,,,,1,,no,no,no,no,no,no,,"Surgery and IV therapy advertised. Also listed at 14 Masjid El-Iman St, Miami - possibly two sites, worth asking. PHONE NOT YET FOUND.",evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Cats & Dogs Vet Clinic,عيادة كاتس اند دوجز البيطرية,Alexandria,Smouha,"22 Yahia El Mashad St, behind Kheir Zaman supermarket, next to Western Union",,,,,1,,no,yes,no,yes,yes,no,,"Grooming, veterinary pharmacy AND imported pet food - three signals in one clinic. PHONE NOT YET FOUND.",evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Pets Plus Veterinary Center,مركز بيتس بلس,Alexandria,Smouha,"6 El Farik Mohamed Fawzy St, Smouha",,,,,1,,no,no,no,no,no,no,,Ultrasound and surgery advertised. PHONE NOT YET FOUND.,evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Royal Vet Clinic Smouha,العيادة الملكية البيطرية,Alexandria,Smouha,"28 Tutankhamun St, opposite Mohamed Karim School",,,,,1,,no,no,no,no,no,no,,PHONE NOT YET FOUND.,evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Smouha Pets Center,مركز سموحة للحيوانات الأليفة,Alexandria,Smouha,"89 Garden City, Smouha",,,,,1,,no,no,no,yes,no,no,,Pharmacy advertised. PHONE NOT YET FOUND.,evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Healthy Pets Clinic,عيادة هيلثي بيتس,Alexandria,Smouha,"Street 314, Building 45, Smouha",,,,,1,,no,no,no,no,no,no,,Surgery advertised. PHONE NOT YET FOUND.,evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Specialized Veterinary Center,المركز البيطري التخصصي,Alexandria,Smouha,"Smouha, Sidi Gaber Towers, Tower 5, 2nd floor",,,,,1,,no,no,no,no,no,yes,,"In-house analysis and surgery - laboratory is a strong Aleefy signal. PHONE NOT YET FOUND.",evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Smouha Vet Clinic,عيادة سموحة البيطرية,Alexandria,Smouha,"28 Street 314, Victor Emmanuel Square",,,,,1,,no,no,no,no,no,no,,PHONE NOT YET FOUND.,evcindex directory,http://www.evcindex.com/loc/عيادة-بيطرية-في-سموحة/
Al-Eman Veterinary Clinic,عيادة الإيمان البيطرية,Alexandria,Sidi Gaber,"41 Tariq St, near Al-Shaimaa Library, Sidi Gaber Station",,,,,1,,no,no,no,yes,no,no,,"24/7 EMERGENCY and a pharmacy. Round-the-clock means shifts, which means rotas and handover - the HR modules. PHONE NOT YET FOUND.",evcindex directory,https://www.evcindex.com/loc/عيادة-بيطرية-في-سيدي-جابر/
Sidi Gaber Veterinary Clinic,عيادة سيدي جابر البيطرية,Alexandria,Sidi Gaber,"Near the post office, Sidi Gaber tram station",,,,,1,,no,no,yes,yes,no,no,,"Boarding AND pharmacy - two signals. PHONE NOT YET FOUND.",evcindex directory,https://www.evcindex.com/loc/عيادة-بيطرية-في-سيدي-جابر/
City Vet Clinic,عيادة سيتي فيت البيطرية,Alexandria,Mustafa Kamel,"398 Freedom Road, Mustafa Kamel",,,,,1,,no,no,no,no,no,no,,Surgery advertised. PHONE NOT YET FOUND.,evcindex directory,https://www.evcindex.com/loc/عيادة-بيطرية-في-سيدي-جابر/
Miami Veterinary Clinic,عيادة ميامي البيطرية,Alexandria,Miami,"Khalil Hamada St, opposite Halawani Masr El Saidy, next to El Sheikh butcher",,,,,1,,no,no,no,no,no,no,,PHONE NOT YET FOUND.,Arabic search,https://www.evcindex.com/
Alexandria Veterinary Center Miami,مركز الإسكندرية البيطري,Alexandria,Miami,"14 Masjid El-Iman St, off Iskander Ibrahim St, Miami",,,,,1,,no,no,no,no,no,no,,"Possibly a second site of the Smouha centre of the same name - if so that is a MULTI-BRANCH prospect. Confirm before pitching either.",Arabic search,https://www.evcindex.com/
Agami Veterinary Clinic,عيادة العجمي البيطرية,Alexandria,Agami,"Bitash St, 8 El Bashawat St, Agami",,,,,1,,no,no,no,no,no,no,,PHONE NOT YET FOUND.,Arabic search,https://www.evcindex.com/
Al-Yemen Veterinary Clinic,عيادة اليمن البيطرية,Alexandria,Agami,"Hanoville, Agami",,,,,1,,no,no,no,yes,no,no,,Vaccinations and veterinary medicines - pharmacy signal. PHONE NOT YET FOUND.,Arabic search,https://www.evcindex.com/
