name,name_ar,governorate,district,address,phone,whatsapp,website,facebook,branches,vets,is_hospital,has_grooming,has_boarding,has_pharmacy,has_petshop,has_lab,current_software,notes,source,source_url
Fardous Pets Clinics,,Giza,6 October,,01066116129,01066116129,,,1,,no,no,no,no,yes,no,,Other lines: 01017476390. Pet shop alongside the clinic. Two lines.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets Home Veterinary Clinic,,Giza,6 October,"District 4, Al-Khazzan St",0101920883,0101920883,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Al-Siyaha Veterinary Clinic,,Giza,6 October,"District 7, near the Hunting Club",01024779743,01024779743,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Catdog Hospital,,Giza,6 October,163 Street 10,01032288638,01032288638,,,1,,yes,no,no,no,no,no,,Hospital.,to-all.com directory,https://www.to-all.com/veterinary-october/
Almedan Pet Hospital October,,Giza,6 October,"District 10, opposite El-Nile Schools",01140891077,01140891077,,,1,,yes,no,no,no,no,no,,Hospital.,to-all.com directory,https://www.to-all.com/veterinary-october/
Veterinary Pharmacy October,,Giza,6 October,"District 3, First Section",01001492834,01001492834,,,1,,no,no,no,yes,no,no,,Pharmacy-led.,to-all.com directory,https://www.to-all.com/veterinary-october/
Domestic Vet Clinic,,Giza,6 October,Opposite Royal School,01094974732,01094974732,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Animal Clinic,,Giza,6 October,45 Street 5,0236852968,,,,1,,no,no,no,no,no,no,,Landline.,to-all.com directory,https://www.to-all.com/veterinary-october/
Family Animal Care Center,,Giza,6 October,"West Somid, Abdullah Ibn Masoud",01005200319,01005200319,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Skyline Veterinary Clinic,,Giza,6 October,Rabah branch,01149336393,01149336393,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pawfect Vet Clinic,,Giza,6 October,District 10,01153104213,01153104213,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Polaris Pet Clinic,,Giza,6 October,"District 10, Al-Mokhtar Village",01015915824,01015915824,,,1,,no,no,no,no,no,no,,Other lines: 01014710710. Two lines.,to-all.com directory,https://www.to-all.com/veterinary-october/
3naya Pet Clinic,,Giza,6 October,"District 10, Abaza Mall, Central Axis",01062698267,01062698267,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
